ner_tag,id,token,Label
O,24,http://t.co/7z7swo7uwm,O
end,25,end,O
O,25,cousin,O
O,25,tells,O
B-PER,25,oscar,PER
I-PER,25,pistorius,PER
O,25,sentencing,O
O,25,hearing,O
O,25,steenkamp,O
O,25,family,O
O,25,ruined,O
B-PER,25,reeva,PER
O,25,death,O
O,25,http://t.co/ogulnmfdns,O
end,26,end,O
O,26,philippines,O
O,26,police,O
O,26,file,O
O,26,charges,O
O,26,marine,O
O,26,death,O
O,26,transgender,O
O,26,woman,O
O,26,http://t.co/dx6om9nwdt,O
end,27,end,O
O,27,liberal,O
O,27,senators,O
O,27,urging,O
B-ORG,27,government,ORG
O,27,buying,O
B-LOC,27,australia,LOC
O,27,generation,O
O,27,submarines,O
O,27,overseas,O
O,27,http://t.co/un5t7qtuu7,O
end,28,end,O
B-ORG,28,federal,ORG
I-ORG,28,government,ORG
O,28,resisting,O
O,28,internal,O
O,28,pressure,O
O,28,create,O
O,28,national,O
O,28,sex,O
O,28,offenders,O
O,28,register,O
O,28,http://t.co/7etdaausck,O
end,29,end,O
B-PER,29,nicola,PER
I-PER,29,sturgeon,PER
O,29,replace,O
B-PER,29,alexander,PER
I-PER,29,salmond,PER
O,29,leader,O
B-ORG,29,scottish,ORG
I-ORG,29,nationalist,ORG
I-ORG,29,party,ORG
O,29,country,O
O,29,minister,O
O,29,http://t.co/mhtmeewz1k,O
end,30,end,O
B-ORG,30,adf,ORG
O,30,personnel,O
O,30,best,O
O,30,paid,O
O,30,world,O
O,30,vice,O
O,30,chief,O
O,30,says,O
O,30,tribunal,O
O,30,defers,O
O,30,pay,O
O,30,deal,O
O,30,decision,O
O,30,http://t.co/wh0lbnswgh,O
end,31,end,O
O,31,concern,O
O,31,post-traumatic,O
O,31,stress,O
O,31,leading,O
O,31,increase,O
O,31,number,O
O,31,veterans,O
O,31,prison,O
O,31,@abc730,O
O,31,http://t.co/u6tox0kaxb,O
end,32,end,O
O,32,#ebola,O
O,32,crisis,O
O,32,second,O
B-LOC,32,texas,LOC
O,32,healthcare,O
O,32,worker,O
O,32,tests,O
O,32,positive,O
O,32,virus,O
O,32,treating,O
B-PER,32,thomas,PER
I-PER,32,duncan,PER
O,32,http://t.co/ymnbzti3pu,O
end,33,end,O
O,33,#breaking:,O
O,33,second,O
O,33,health,O
O,33,care,O
O,33,worker,O
B-LOC,33,texas,LOC
I-LOC,33,health,LOC
I-LOC,33,presbyterian,LOC
I-LOC,33,hospital,LOC
O,33,tested,O
O,33,positive,O
O,33,#ebola,O
end,33,end,O
B-ORG,33,workcover,ORG
O,33,finds,O
O,33,loose-fill,O
O,33,#asbestos,O
B-LOC,33,#sydney,LOC
O,33,homes,O
O,33,time,O
O,33,positive,O
O,33,tests,O
O,33,city,O
O,33,likely,O
O,33,http://t.co/txwrocc6mc,O
end,34,end,O
O,34,man,O
B-ORG,34,#bookerprize,ORG
O,34,winner,O
B-PER,34,richard,PER
I-PER,34,flanagan,PER
O,34,ashamed,O
B-LOC,34,australian,LOC
O,34,http://t.co/rt7jsnawnb,O
end,35,end,O
O,35,heavy,O
O,35,snowfall,O
B-LOC,35,nepal,LOC
B-LOC,35,annapurna,LOC
O,35,trekking,O
O,35,route,O
O,35,kills,O
O,35,leaves,O
O,35,100,O
O,35,missing,O
O,35,http://t.co/ihjuocsern,O
end,36,end,O
B-LOC,36,hong,LOC
I-LOC,36,kong,LOC
O,36,tension,O
O,36,rises,O
O,36,police,O
O,36,officers,O
O,36,suspended,O
O,36,beating,O
O,36,protester,O
O,36,caught,O
O,36,film,O
O,36,http://t.co/rxevpabq2u,O
end,37,end,O
B-ORG,37,university,ORG
I-ORG,37,nsw,ORG
O,37,students,O
O,37,drive,O
O,37,#sunswift,O
O,37,solar,O
O,37,car,O
O,37,record,O
O,37,books,O
O,37,http://t.co/6msmqtfau9,O
O,38,http://t.co/pdcvyk3mjv,O
end,39,end,O
O,39,rise,O
O,39,local,O
O,39,share,O
O,39,market,O
O,39,marks,O
O,39,straight,O
O,39,sessions,O
O,39,gains,O
O,39,despite,O
O,39,lacklustre,O
O,39,consumer,O
O,39,sentiment,O
O,39,reading,O
O,39,http://t.co/tyoeymif9p,O
end,40,end,O
B-LOC,40,north,LOC
I-LOC,40,south,LOC
I-LOC,40,korea,LOC
O,40,hold,O
O,40,high-level,O
O,40,military,O
O,40,talks,O
O,40,amid,O
O,40,heightened,O
O,40,tensions,O
B-LOC,40,korean,LOC
I-LOC,40,peninsula,LOC
O,40,http://t.co/giighzcdg8,O
end,41,end,O
B-LOC,41,riverina,LOC
O,41,farmers,O
O,41,confused,O
B-ORG,41,nsw,ORG
I-ORG,41,government,ORG
O,41,water,O
O,41,allocation,O
O,41,dam,O
O,41,levels,O
O,41,strong,O
O,41,http://t.co/zbkfcpklv3,O
end,42,end,O
B-LOC,42,moranbah,LOC
O,42,housing,O
O,42,market,O
O,42,collapses,O
O,42,businesses,O
O,42,struggle,O
O,42,coal,O
O,42,prices,O
O,42,remain,O
O,42,depressed,O
O,42,http://t.co/uht66nqmh5,O
end,43,end,O
O,43,story,O
B-PER,43,kumi,PER
I-PER,43,taguchi,PER
B-PER,43,@,PER
B-PER,43,kumitaguchi,PER
O,43,reflects,O
O,43,reporting,O
O,43,ptsd,O
O,43,experienced,O
O,43,returned,O
O,43,soldiers,O
O,43,http://t.co/1v4vnsdj67,O
end,44,end,O
O,44,#doping,O
O,44,#sport:,O
O,44,olympic,O
O,44,athletes,O
O,44,teams,O
O,44,divided,O
O,44,merit,O
O,44,proposed,O
O,44,expansion,O
B-ORG,44,asada,ORG
O,44,powers,O
O,44,http://t.co/fqfka9szh2,O
end,45,end,O
B-ORG,45,catholic,ORG
I-ORG,45,church,ORG
O,45,offered,O
O,45,mou,O
O,45,child,O
O,45,abuse,O
O,45,despite,O
O,45,mandatory,O
O,45,reporting,O
O,45,laws,O
B-ORG,45,police,ORG
I-ORG,45,integrity,ORG
I-ORG,45,commission,ORG
O,45,hears,O
O,45,http://t.co/pqgah0a0ra,O
end,46,end,O
B-LOC,46,#geelong,LOC
O,46,trial,O
O,46,program,O
O,46,allowing,O
O,46,corporations,O
O,46,partner,O
O,46,schools,O
B-PER,46,christopher,PER
I-PER,46,pyne,PER
O,46,says,O
O,46,http://t.co/29nwx8g9ga,O
end,47,end,O
O,47,story,O
B-PER,47,anna,PER
I-PER,47,henderson,PER
B-PER,47,@,PER
B-PER,47,annajhenderson,PER
O,47,goes,O
O,47,road,O
O,47,prime,O
O,47,minister,O
B-LOC,47,arnhem,LOC
I-LOC,47,land,LOC
O,47,http://t.co/mmhwf2xuf5,O
end,48,end,O
B-LOC,48,#afghanistan,LOC
O,48,soldier,O
O,48,deaths,O
O,48,report,O
O,48,murders,O
O,48,families,O
O,48,adequate,O
O,48,answers,O
O,48,sergeant,O
O,48,says,O
O,48,http://t.co/rxaminahtb,O
end,49,end,O
B-LOC,49,australian,LOC
O,49,special,O
O,49,forces,O
O,49,troops,O
B-LOC,49,#iraq,LOC
O,49,days,O
B-PER,49,tony,PER
I-PER,49,abbott,PER
O,49,says,O
O,49,http://t.co/svw4q9czm6,O
end,50,end,O
O,50,composer,O
B-PER,50,@,PER
B-PER,50,timminchin,PER
O,50,says,O
B-PER,50,roald,PER
I-PER,50,dahl,PER
B-PER,50,matilda,PER
O,50,incredible,O
O,50,thing,O
O,50,life,O
O,50,http://t.co/mtm0knwbfq,O
O,51,@breakfastnews,O
end,51,end,O
O,51,mp,O
B-PER,51,bruce,PER
I-PER,51,flegg,PER
O,51,sues,O
O,51,media,O
O,51,adviser,O
O,51,claiming,O
O,51,unfit,O
O,51,ministry,O
O,51,http://t.co/sod8ccides,O
end,52,end,O
B-ORG,52,islamic,ORG
I-ORG,52,state,ORG
O,52,fighter,O
B-ORG,52,brisbane,ORG
I-ORG,52,council,ORG
O,52,worker,O
B-PER,52,zia,PER
I-PER,52,abdul,PER
I-PER,52,haq,PER
O,52,killed,O
O,52,travelling,O
B-LOC,52,syria,LOC
O,52,http://t.co/8yknptsnpm,O
end,53,end,O
B-ORG,53,#facebook,ORG
B-ORG,53,#apple,ORG
O,53,offer,O
O,53,20,O
O,53,000,O
O,53,freeze,O
O,53,eggs,O
O,53,female,O
O,53,staff,O
O,53,http://t.co/widjc2qsds,O
end,54,end,O
B-PER,54,tasmanian,PER
O,54,government,O
O,54,names,O
B-ORG,54,macquarie,ORG
I-ORG,54,point,ORG
O,54,preferred,O
O,54,southern,O
O,54,woodchip,O
O,54,port,O
O,54,http://t.co/nx8bdjhkx4,O
end,55,end,O
O,55,pop,O
O,55,star,O
B-PER,55,kesha,PER
O,55,sues,O
O,55,music,O
O,55,producer,O
B-PER,55,dr,PER
I-PER,55,luke,PER
O,55,years,O
O,55,sexual,O
O,55,emotional,O
O,55,abuse,O
O,55,http://t.co/viwmwdef1s,O
end,56,end,O
B-LOC,56,png,LOC
O,56,national,O
O,56,broadcaster,O
O,56,increases,O
O,56,security,O
O,56,female,O
O,56,staff,O
O,56,members,O
O,56,kidnapped,O
O,56,assaulted,O
O,56,http://t.co/2eq7tpwqug,O
end,57,end,O
B-ORG,57,christian,ORG
I-ORG,57,brothers,ORG
O,57,member,O
B-PER,57,peter,PER
I-PER,57,standen,PER
O,57,faces,O
O,57,indecent,O
O,57,assault,O
O,57,charges,O
B-LOC,57,goulburn,LOC
I-LOC,57,court,LOC
O,57,http://t.co/wkbtlxkdir,O
end,58,end,O
O,58,6pm,O
O,58,wrap,O
O,58,day,O
O,58,1,O
B-PER,58,luke,PER
I-PER,58,batty,PER
O,58,inquest,O
B-PER,58,rosie,PER
I-PER,58,batty,PER
O,58,testimony,O
O,58,torment,O
O,58,wish,O
O,58,parents,O
B-PER,58,@,PER
B-PER,58,simolove,PER
end,58,end,O
B-LOC,58,#adelaide,LOC
O,58,hit,O
O,58,37,O
O,58,c,O
O,58,severe,O
O,58,fire,O
O,58,danger,O
O,58,ratings,O
O,58,parts,O
B-LOC,58,sa,LOC
O,58,tomorrow,O
O,58,details,O
O,58,#pmagenda,O
O,58,tonight,O
B-PER,58,@,PER
B-PER,58,david_speers,PER
B-PER,58,ben,PER
B-PER,58,domensin,PER
end,58,end,O
O,58,chat,O
B-PER,58,@,PER
B-PER,58,david_speers,PER
B-PER,58,@,PER
B-PER,58,jamesmassola,PER
O,58,#fairwarning,O
B-PER,58,@,PER
B-PER,58,chriskkenny,PER
end,58,end,O
B-PER,58,aaron,PER
I-PER,58,connelly,PER
B-ORG,58,lowy,ORG
I-ORG,58,institute,ORG
O,58,discusses,O
O,58,new,O
B-LOC,58,indonesian,LOC
O,58,president,O
B-PER,58,jokowi,PER
O,58,#pmagenda,O
B-PER,58,@,PER
B-PER,58,david_speers,PER
end,58,end,O
B-PER,58,@,PER
B-PER,58,mathiascormann,PER
O,58,plays,O
O,58,fears,O
O,58,privatised,O
B-ORG,58,medibank,ORG
I-ORG,58,private,ORG
O,58,increase,O
O,58,premiums,O
O,58,govt,O
O,58,regulate,O
O,58,#pmagenda,O
B-PER,58,@,PER
B-PER,58,david_speers,PER
end,58,end,O
O,58,#pmagenda,O
O,58,committee,O
O,58,chair,O
B-PER,58,@,PER
B-PER,58,dantehanwannon,PER
O,58,discusses,O
O,58,improve,O
O,58,foreign,O
O,58,fighters,O
O,58,bill,O
B-PER,58,@,PER
B-PER,58,david_speers,PER
end,58,end,O
O,58,thanks,O
O,58,ur,O
O,58,support,O
O,58,guys,O
O,58,follow,O
B-PER,58,paul,PER
O,58,personal,O
O,58,account,O
B-ORG,58,@,ORG
B-ORG,58,pmonair,ORG
O,58,super-producer,O
B-PER,58,@,PER
B-PER,58,skidner,PER
O,58,u,O
O,58,tonight,O
O,58,@pm_live,O
end,58,end,O
O,58,reserve,O
O,58,gas,O
O,58,domestic,O
O,58,use,O
B-LOC,58,australia,LOC
O,58,#pmagenda,O
B-PER,58,@,PER
B-PER,58,david_speers,PER
end,58,end,O
O,58,join,O
B-ORG,58,@,ORG
B-ORG,58,vanonselenp,ORG
B-ORG,58,qt,ORG
O,58,analysis,O
O,58,finishes,O
O,58,sure,O
O,58,chose,O
O,58,exciting,O
O,58,day,O
O,58,start,O
O,58,#pmagenda,O
B-PER,58,@,PER
B-PER,58,david_speers,PER
end,58,end,O
O,58,today,O
O,58,#pmagenda,O
O,58,begin,O
O,58,straight,O
O,58,qt,O
O,58,sitting,O
O,58,days,O
B-PER,58,@,PER
B-PER,58,david_speers,PER
end,58,end,O
O,58,comet,O
O,58,size,O
O,58,small,O
O,58,mountain,O
O,58,whizzed,O
O,58,past,O
B-LOC,58,mars,LOC
O,58,once-in-a-million-years,O
O,58,encounter,O
O,58,https://t.co/zugybtrikk,O
end,58,end,O
O,58,2,O
O,58,men,O
O,58,accused,O
O,58,killing,O
B-LOC,58,brisbane,LOC
O,58,mother,O
O,58,2,O
O,58,daughters,O
O,58,40,O
O,58,years,O
O,58,ago,O
O,58,remain,O
O,58,bars,O
O,58,nov,O
O,58,24,O
B-PER,58,#mcculkin,PER
B-PER,58,@,PER
B-PER,58,liztilley84,PER
end,58,end,O
O,58,pm,O
B-PER,58,abbott,PER
O,58,arrived,O
O,58,inauguration,O
O,58,indonesian,O
O,58,president-elect,O
B-PER,58,joko,PER
I-PER,58,widodo,PER
B-PER,58,@,PER
B-PER,58,dan_bourchier,PER
end,58,end,O
O,58,#showbiz,O
O,58,interviews,O
O,58,fashion,O
O,58,legend,O
O,58,@ausnexttopmodel,O
O,58,guest,O
O,58,judge,O
B-PER,58,@,PER
B-PER,58,jpgaultier,PER
O,58,http://t.co/m16q2abdtf,O
B-PER,59,@,PER
B-PER,59,shellz_zee,PER
end,59,end,O
O,59,coming,O
O,59,#lunchtimeagenda,O
B-PER,59,@,PER
B-PER,59,davidleyonhjelm,PER
O,59,govt,O
O,59,terror,O
O,59,laws,O
O,59,pol,O
O,59,panel,O
B-PER,59,alannah,PER
I-PER,59,mactiernan,PER
B-PER,59,@,PER
B-PER,59,angustaylormp,PER
B-PER,59,@,PER
B-PER,59,tomwconnell,PER
end,59,end,O
O,59,#showbiz,O
O,59,interviews,O
O,59,fashion,O
O,59,legend,O
O,59,#antm,O
O,59,guest,O
O,59,judge,O
B-PER,59,jean,PER
I-PER,59,paul,PER
I-PER,59,gautlier,PER
O,59,http://t.co/m16q2abdtf,O
B-PER,60,@,PER
B-PER,60,shellz_zee,PER
end,60,end,O
O,60,agenda,O
B-LOC,60,australia,LOC
O,60,ready,O
O,60,help,O
O,60,neighbours,O
O,60,http://t.co/a6ffw2cwqx,O
B-PER,61,@,PER
B-PER,61,kieran_gilbert,PER
end,61,end,O
O,61,15,O
O,61,year-old,O
O,61,boy,O
O,61,charged,O
O,61,attempted,O
O,61,murder,O
O,61,attack,O
O,61,49yo,O
B-LOC,61,idalia,LOC
O,61,man,O
B-LOC,61,#townsville,LOC
B-ORG,61,#skyqld,ORG
B-PER,61,@,PER
B-PER,61,brookewylie,PER
end,61,end,O
B-PER,61,brendan,PER
I-PER,61,o,PER
I-PER,61,connor,PER
O,61,girly,O
O,61,man,O
O,61,dickhead,O
O,61,border,O
O,61,protection,O
O,61,#viewpoint,O
O,61,http://t.co/dxwmfiqniu,O
B-PER,62,@,PER
B-PER,62,chriskkenny,PER
end,62,end,O
O,62,political,O
O,62,eunuchs,O
O,62,#viewpoint,O
O,62,editorial,O
O,62,october,O
O,62,19,O
O,62,http://t.co/qzorlofzkc,O
B-PER,63,@,PER
B-PER,63,chriskkenny,PER
end,63,end,O
O,63,average,O
O,63,households,O
O,63,major,O
O,63,cities,O
O,63,expect,O
O,63,gas,O
O,63,bills,O
O,63,soar,O
O,63,hundreds,O
O,63,dollars,O
O,63,year,O
O,63,http://t.co/q1acxg9ews,O
O,64,http://t.co/e0lcct1qsp,O
end,65,end,O
B-LOC,65,qld,LOC
O,65,health,O
O,65,warns,O
O,65,measles,O
O,65,exposure,O
O,65,passengers,O
O,65,flying,O
B-ORG,65,jetstar,ORG
B-LOC,65,brisbane,LOC
B-LOC,65,denpasar,LOC
O,65,jq,O
O,65,46,O
O,65,wed,O
O,65,15,O
O,65,oct,O
O,65,3,O
O,65,people,O
O,65,infected,O
B-PER,65,brookewylie,PER
end,65,end,O
B-PER,65,kerry,PER
I-PER,65,stokes,PER
O,65,touching,O
O,65,story,O
O,65,vc,O
O,65,widow,O
O,65,good,O
O,65,man,O
B-PER,65,@,PER
B-PER,65,chriskkenny,PER
end,65,end,O
B-PER,65,kerry,PER
I-PER,65,stokes,PER
O,65,speaking,O
O,65,live,O
O,65,launch,O
O,65,new,O
O,65,book,O
O,65,life,O
O,65,boy,O
B-PER,65,@,PER
B-PER,65,ash_gillon,PER
end,65,end,O
B-PER,65,rosie,PER
I-PER,65,batty,PER
O,65,shortly,O
O,65,witness,O
O,65,stand,O
O,65,coronial,O
O,65,inquest,O
O,65,son,O
O,65,death,O
O,65,wo,O
O,65,live,O
O,65,tweeting,O
B-PER,65,@,PER
B-PER,65,simolove,PER
end,65,end,O
B-PER,65,coroner,PER
O,65,examine,O
O,65,roles,O
O,65,played,O
B-LOC,65,vic,LOC
O,65,dept,O
O,65,human,O
O,65,services,O
B-ORG,65,@,ORG
B-ORG,65,victoriapolice,ORG
B-PER,65,rosie,PER
I-PER,65,batty,PER
O,65,protecting,O
B-PER,65,#lukebatty,PER
B-PER,65,@,PER
B-PER,65,simolove,PER
end,65,end,O
O,65,inquest,O
O,65,told,O
B-PER,65,greg,PER
I-PER,65,anderson,PER
O,65,emptied,O
O,65,belongings,O
O,65,including,O
O,65,large,O
O,65,knife,O
O,65,bag,O
O,65,going,O
B-LOC,65,tyabb,LOC
I-LOC,65,oval,LOC
B-PER,65,#lukebatty,PER
O,65,@simolove,O
end,65,end,O
O,65,coronial,O
O,65,inquest,O
O,65,told,O
O,65,8,O
O,65,yo,O
O,65,boy,O
B-PER,65,luke,PER
I-PER,65,batty,PER
O,65,cricket,O
O,65,team,O
O,65,witnessed,O
B-PER,65,greg,PER
I-PER,65,anderson,PER
O,65,smack,O
B-PER,65,luke,PER
O,65,ground,O
O,65,cricket,O
O,65,bat,O
O,65,@simolove,O
end,65,end,O
O,65,coronial,O
O,65,inquest,O
O,65,told,O
B-PER,65,luke,PER
I-PER,65,batty,PER
O,65,father,O
O,65,threatened,O
O,65,knife,O
O,65,10,O
O,65,months,O
O,65,death,O
B-PER,65,@,PER
B-PER,65,simolove,PER
end,65,end,O
O,65,live,O
B-ORG,65,@,ORG
B-ORG,65,skybusiness,ORG
B-ORG,65,rba,ORG
O,65,assistant,O
O,65,governor,O
B-PER,65,christopher,PER
I-PER,65,kent,PER
O,65,speaking,O
B-ORG,65,lasa,ORG
O,65,national,O
O,65,congress,O
B-LOC,65,#adelaide,LOC
B-PER,65,@,PER
B-PER,65,staceylee_,PER
end,65,end,O
O,65,president-elect,O
B-PER,65,joko,PER
I-PER,65,widodo,PER
O,65,sworn,O
B-LOC,65,indonesian,LOC
O,65,parliament,O
O,65,morning,O
O,65,details,O
O,65,soon,O
O,65,http://t.co/xftcqy8i0u,O
B-PER,66,@,PER
B-PER,66,dan_bourchier,PER
end,66,end,O
O,66,security,O
O,66,tight,O
B-LOC,66,indonesia,LOC
I-LOC,66,parliament,LOC
O,66,inauguration,O
B-PER,66,joko,PER
I-PER,66,widodo,PER
O,66,http://t.co/yichshcgwi,O
B-PER,67,@,PER
B-PER,67,dan_bourchier,PER
end,67,end,O
O,67,deal,O
O,67,deploy,O
B-LOC,67,australian,LOC
O,67,troops,O
B-LOC,67,#iraq,LOC
O,67,http://t.co/gecbp1rt83,O
O,68,http://t.co/zktx3jfsan,O
end,69,end,O
B-LOC,69,mcdonalds,LOC
O,69,restaurant,O
B-LOC,69,swanston,LOC
I-LOC,69,st,LOC
O,69,15yo,O
O,69,attacked,O
O,69,night,O
O,69,http://t.co/irt9qht0j9,O
B-PER,70,@,PER
B-PER,70,ahronyoung,PER
end,70,end,O
B-LOC,70,indonesia,LOC
O,70,prepares,O
O,70,new,O
O,70,president,O
O,70,details,O
O,70,soon,O
B-PER,70,@,PER
B-PER,70,kieran_gilbert,PER
O,70,#indopol,O
O,70,#auspol,O
B-LOC,70,#indonesiavotes,LOC
B-PER,70,@,PER
B-PER,70,dan_bourchier,PER
end,70,end,O
O,70,good,O
O,70,morning,O
B-LOC,70,sa-,LOC
O,70,stay,O
O,70,hydrated,O
O,70,today,O
O,70,day,O
O,70,4,O
O,70,#heatwave!,O
B-LOC,70,#adelaide,LOC
O,70,34,O
O,70,c,O
O,70,12,O
O,70,c,O
O,70,oct,O
O,70,avg,O
B-ORG,70,@,ORG
B-ORG,70,skyweatheraus,ORG
B-PER,70,@,PER
B-PER,70,samdawson01,PER
end,70,end,O
O,70,person,O
O,70,assaulted,O
O,70,outside,O
B-LOC,70,melbourne,LOC
I-LOC,70,mcdonalds,LOC
I-LOC,70,restaurant,LOC
O,70,15yo,O
O,70,recovering,O
B-LOC,70,hospital,LOC
O,70,broken,O
O,70,nose,O
B-PER,70,@,PER
B-PER,70,ahronyoung,PER
end,70,end,O
O,70,new,O
O,70,recruit,O
B-LOC,70,melbourne,LOC
O,70,bureau,O
B-PER,70,jim,PER
I-PER,70,middleton,PER
O,70,report,O
O,70,pm,O
O,70,visit,O
B-LOC,70,indonesia,LOC
B-ORG,70,sky,ORG
I-ORG,70,news,ORG
B-PER,70,@,PER
B-PER,70,ahronyoung,PER
end,70,end,O
O,70,men,O
O,70,face,O
O,70,court,O
O,70,morning,O
O,70,charged,O
O,70,murder,O
O,70,cold,O
O,70,case,O
O,70,baffled,O
B-LOC,70,queensland,LOC
O,70,police,O
O,70,40,O
O,70,years,O
B-PER,70,@,PER
B-PER,70,liztilley84,PER
end,70,end,O
O,70,morning,O
O,70,200,O
